system:index,NDVI,aspect,elevation,slope,soilgrid_clay5,soilgrid_clay60,soilgrid_soc5,twi,.geo
0_14,0.3050944209098816,282.08778893699986,2637.0,13.056398391723633,25.0,29.0,62.0,8.294094380419137,"{""type"":""Point"",""coordinates"":[-108.11898154682841,38.25646722038362]}"
0_15,0.26061132550239563,283.2610603932736,2685.0,11.953469276428223,24.0,33.0,65.0,9.30150640518175,"{""type"":""Point"",""coordinates"":[-108.05657575679153,38.22614221355739]}"
0_16,0.28101450204849243,212.48729811907359,3034.0,2.198042154312134,18.0,23.0,61.0,9.399689905133933,"{""type"":""Point"",""coordinates"":[-108.0869458501648,38.25843195885838]}"
0_17,0.27773037552833557,190.30998727915343,2960.0,12.971701622009277,20.0,25.0,50.0,7.60768467695272,"{""type"":""Point"",""coordinates"":[-108.06637711748398,38.25034118726399]}"
0_18,0.272662878036499,205.52037191515734,2460.0,8.166391372680664,24.0,34.0,45.0,8.774063821734622,"{""type"":""Point"",""coordinates"":[-108.11840678141989,38.2343559798946]}"
0_19,0.2681756615638733,216.02450699266734,2713.0,7.97567081451416,22.0,30.0,54.0,8.798010701098992,"{""type"":""Point"",""coordinates"":[-108.02594520301808,38.20555707052843]}"
0_20,0.29408201575279236,202.99354966415075,2528.0,3.019824504852295,24.0,31.0,52.0,9.774769574297238,"{""type"":""Point"",""coordinates"":[-108.08364035795117,38.23029292872037]}"
0_21,0.33170342445373535,180.0,2972.0,12.76917839050293,22.0,27.0,56.0,8.317109787761083,"{""type"":""Point"",""coordinates"":[-108.02865971122948,38.219870624042976]}"
0_22,0.28541454672813416,284.674975745727,2647.0,7.282759189605713,29.0,36.0,49.0,9.295444284673783,"{""type"":""Point"",""coordinates"":[-108.06260506450008,38.22067242494643]}"
0_23,0.26679614186286926,258.88759818158644,2592.0,4.8010077476501465,26.0,33.0,53.0,8.61657755358543,"{""type"":""Point"",""coordinates"":[-108.0685438816252,38.21751205738924]}"
0_24,0.2441122978925705,147.51409115357757,3015.0,6.56833553314209,19.0,24.0,56.0,8.301093036593757,"{""type"":""Point"",""coordinates"":[-108.07572958454297,38.25447986863048]}"
0_25,0.30702173709869385,163.32288902816552,2625.0,16.028072357177734,23.0,34.0,54.0,8.485445900706598,"{""type"":""Point"",""coordinates"":[-108.09759755384174,38.240808548691454]}"
0_26,0.3064667582511902,174.4054184965592,2808.0,11.939228057861328,23.0,25.0,57.0,7.693295854749066,"{""type"":""Point"",""coordinates"":[-108.09957782217566,38.252785508574284]}"
0_27,0.22839374840259552,248.5497662726607,2588.0,5.059321403503418,29.0,34.0,51.0,8.563911509472435,"{""type"":""Point"",""coordinates"":[-108.04929898991195,38.204005086936355]}"
0_28,0.2739030420780182,197.65596887104135,2689.0,7.739306449890137,26.0,36.0,57.0,9.74476561574732,"{""type"":""Point"",""coordinates"":[-108.06596947958573,38.2389596387763]}"
0_29,0.27853021025657654,195.79970843574134,2808.0,8.60977554321289,21.0,34.0,64.0,9.125894894035444,"{""type"":""Point"",""coordinates"":[-108.08280056114162,38.248634739604384]}"
0_30,0.20407049357891083,68.55281754277074,2523.0,2.534944534301758,24.0,33.0,47.0,15.479499411309297,"{""type"":""Point"",""coordinates"":[-108.0861629343802,38.215383391078376]}"
0_31,0.3282434046268463,216.96014040028095,2837.0,24.0220890045166,21.0,25.0,59.0,8.046263043413807,"{""type"":""Point"",""coordinates"":[-108.0900014755178,38.25174769064016]}"
0_32,0.3197706937789917,282.6525358666573,2513.0,16.468509674072266,20.0,28.0,84.0,7.358215500030372,"{""type"":""Point"",""coordinates"":[-108.09120676030575,38.21322183338123]}"
0_33,0.2810514569282532,145.2315104410758,2758.0,12.230574607849121,24.0,34.0,57.0,9.460215698399814,"{""type"":""Point"",""coordinates"":[-108.01870959211465,38.21205547783912]}"
0_34,0.27593550086021423,239.49755551038862,2567.0,5.46525764465332,25.0,33.0,53.0,10.971203735741287,"{""type"":""Point"",""coordinates"":[-108.08923643669449,38.235751474988184]}"
0_35,0.32270175218582153,174.805503230767,2810.0,12.820099830627441,27.0,31.0,55.0,8.718459531267044,"{""type"":""Point"",""coordinates"":[-108.02480887292543,38.21405465714512]}"
0_36,0.2364012897014618,208.62540829721507,2858.0,14.476862907409668,17.0,22.0,45.0,7.493592634291646,"{""type"":""Point"",""coordinates"":[-108.106929780424,38.258277430838284]}"
0_37,0.29821842908859253,191.08517386388684,2948.0,23.213716506958008,20.0,26.0,53.0,6.986089623244417,"{""type"":""Point"",""coordinates"":[-108.0929266061076,38.25749443797722]}"
0_38,0.2911049723625183,231.85632089893028,2648.0,7.465855598449707,22.0,31.0,51.0,9.270337712473987,"{""type"":""Point"",""coordinates"":[-108.112804495893,38.248513862283296]}"
0_39,0.22457551956176758,278.92966969086996,2811.0,17.373004913330078,19.0,22.0,52.0,8.68780286501492,"{""type"":""Point"",""coordinates"":[-108.04450359720474,38.2208948817725]}"
0_40,0.27213966846466064,36.046788518187704,2967.0,15.657917976379395,19.0,24.0,59.0,7.411433426459108,"{""type"":""Point"",""coordinates"":[-108.08777752447995,38.26488879232572]}"
0_41,0.29810845851898193,203.78469526790792,2747.0,24.699899673461914,24.0,35.0,51.0,8.014778131329532,"{""type"":""Point"",""coordinates"":[-108.05932970363989,38.241943948620644]}"
0_42,0.2564464807510376,235.48917411140377,2645.0,11.310127258300781,24.0,33.0,57.0,7.748940952544322,"{""type"":""Point"",""coordinates"":[-108.04497279503448,38.20685376941184]}"
0_43,0.3103363811969757,257.9131529910925,2778.0,13.057366371154785,19.0,20.0,57.0,8.294017614588816,"{""type"":""Point"",""coordinates"":[-108.11296637196983,38.262161474570696]}"
0_44,0.2803083658218384,155.5458677201446,2946.0,13.980280876159668,18.0,21.0,52.0,7.529973811443837,"{""type"":""Point"",""coordinates"":[-108.0544964718447,38.24754864818922]}"
0_45,0.25167614221572876,271.9553206585763,2715.0,25.381261825561523,21.0,25.0,54.0,7.578300256953981,"{""type"":""Point"",""coordinates"":[-108.1152812981198,38.25882282890713]}"
0_46,0.3151012063026428,220.3304518607153,2902.0,7.260850429534912,23.0,25.0,71.0,8.893024614031,"{""type"":""Point"",""coordinates"":[-108.09101591711821,38.25536437918551]}"
0_47,0.3131886124610901,209.49734051566168,2979.0,18.509191513061523,20.0,24.0,53.0,7.926968363085023,"{""type"":""Point"",""coordinates"":[-108.03191781686675,38.22039916196878]}"
0_48,0.2785196006298065,327.52430531020553,2599.0,12.96700668334961,27.0,34.0,57.0,11.92554746069588,"{""type"":""Point"",""coordinates"":[-108.06923146412083,38.22573047253244]}"
0_49,0.23533432185649872,342.34814151954157,2510.0,3.887296676635742,21.0,33.0,45.0,8.828497693024513,"{""type"":""Point"",""coordinates"":[-108.09301550241598,38.22086511770172]}"
0_50,0.3339942991733551,284.1134896249829,2495.0,27.972213745117188,19.0,28.0,84.0,8.851790701551435,"{""type"":""Point"",""coordinates"":[-108.09290236876672,38.21181022151677]}"
0_51,0.28660914301872253,212.48580962090676,2721.0,12.968415260314941,24.0,32.0,58.0,8.301094105790847,"{""type"":""Point"",""coordinates"":[-108.11078925504084,38.25415202687297]}"
0_52,0.2546788156032562,23.002369010053446,3032.0,3.020021438598633,18.0,24.0,57.0,9.081557061291761,"{""type"":""Point"",""coordinates"":[-108.08940240567411,38.26125674093598]}"
0_53,0.272413432598114,242.35433399459757,2587.0,7.94426965713501,26.0,30.0,55.0,9.495153991373803,"{""type"":""Point"",""coordinates"":[-108.0671173422387,38.214099007714324]}"
0_54,0.2779683768749237,141.49844684425736,2847.0,9.396081924438477,21.0,23.0,56.0,9.03704598251939,"{""type"":""Point"",""coordinates"":[-108.0323983081495,38.21559025362821]}"
0_55,0.2325371354818344,180.0,2532.0,0.9274099469184875,20.0,28.0,47.0,10.263019926494911,"{""type"":""Point"",""coordinates"":[-108.08807903973603,38.21370812142167]}"
0_56,0.3170970678329468,158.10310382111254,2789.0,18.339426040649414,23.0,27.0,51.0,8.342314986048754,"{""type"":""Point"",""coordinates"":[-108.00738184449314,38.21680633262769]}"
0_57,0.2323906272649765,222.80491788710063,2831.0,13.642167091369629,19.0,23.0,44.0,7.555430814377416,"{""type"":""Point"",""coordinates"":[-108.10521638330528,38.25645985718374]}"
0_58,0.24935750663280487,180.0,2530.0,4.6273674964904785,23.0,31.0,49.0,10.599492176009129,"{""type"":""Point"",""coordinates"":[-108.08032352839403,38.229763725803664]}"
0_59,0.26479005813598633,231.85483188238632,2679.0,5.984660625457764,22.0,35.0,49.0,8.394902020859359,"{""type"":""Point"",""coordinates"":[-108.10075379440828,38.24469360227125]}"
0_60,0.29211658239364624,253.7825574837301,2594.0,30.097352981567383,28.0,33.0,65.0,8.07120108750792,"{""type"":""Point"",""coordinates"":[-108.12037418287389,38.25040325577859]}"
0_61,0.28293725848197937,189.04377706784265,2778.0,14.69568920135498,21.0,31.0,53.0,8.576534083344237,"{""type"":""Point"",""coordinates"":[-108.08722632914571,38.24833445388274]}"
0_62,0.27992433309555054,180.0,2621.0,4.6273674964904785,24.0,35.0,55.0,11.138488676741817,"{""type"":""Point"",""coordinates"":[-108.07804467091985,38.23653383877855]}"
0_63,0.28206107020378113,236.78860190893843,3022.0,8.405853271484375,20.0,23.0,54.0,8.051608559968864,"{""type"":""Point"",""coordinates"":[-108.03616470819244,38.223786735239536]}"
0_64,0.28688451647758484,185.38847438533023,2869.0,23.701948165893555,22.0,29.0,48.0,7.655901294739635,"{""type"":""Point"",""coordinates"":[-108.08203642054013,38.25074128868854]}"
0_65,0.27195340394973755,189.04313130929782,2653.0,7.470689296722412,22.0,34.0,53.0,8.171070803128567,"{""type"":""Point"",""coordinates"":[-108.10319967773101,38.24305905007163]}"
0_66,0.2578490674495697,202.9933922888855,2519.0,6.022956848144531,24.0,34.0,45.0,10.953425769236997,"{""type"":""Point"",""coordinates"":[-108.08768259613228,38.22983066347694]}"
0_67,0.25237420201301575,264.3933951877107,2716.0,9.408010482788086,25.0,35.0,54.0,8.630289089545311,"{""type"":""Point"",""coordinates"":[-108.10172291367236,38.248008063035385]}"
0_68,0.3061332404613495,195.4734819230496,2926.0,21.122610092163086,22.0,26.0,56.0,8.189218795787086,"{""type"":""Point"",""coordinates"":[-108.0748598671722,38.251689187576766]}"
0_69,0.2896520495414734,180.0,2702.0,10.096575736999512,24.0,35.0,58.0,9.251419067186026,"{""type"":""Point"",""coordinates"":[-108.06100663695044,38.240342896393116]}"
0_70,0.26028141379356384,212.48571039654098,3007.0,8.728180885314941,19.0,22.0,60.0,9.112025470705309,"{""type"":""Point"",""coordinates"":[-108.07268510573647,38.25375895773667]}"
0_71,0.2749934792518616,243.433850290088,2652.0,14.217772483825684,28.0,29.0,54.0,9.121867079238205,"{""type"":""Point"",""coordinates"":[-108.05471870731263,38.20971448342971]}"
0_72,0.32270801067352295,186.91537080470545,2935.0,18.902965545654297,20.0,26.0,53.0,7.211196029175346,"{""type"":""Point"",""coordinates"":[-108.09344908452887,38.25712775494735]}"
0_73,0.2646282911300659,170.3683452916157,2862.0,13.835914611816406,21.0,25.0,52.0,7.540773170653996,"{""type"":""Point"",""coordinates"":[-108.01774198897917,38.216979157391606]}"
0_74,0.29917797446250916,147.51895183586421,2557.0,12.967752456665039,25.0,34.0,56.0,10.005895096573141,"{""type"":""Point"",""coordinates"":[-108.11029969807734,38.24080320961147]}"
0_75,0.3490181565284729,260.4429831978114,2517.0,16.30414390563965,20.0,29.0,72.0,7.368814834523368,"{""type"":""Point"",""coordinates"":[-108.09112020092434,38.21397776786577]}"
0_76,0.32054486870765686,236.0504119896711,2604.0,9.866064071655273,24.0,35.0,56.0,10.085918565522142,"{""type"":""Point"",""coordinates"":[-108.08957464066255,38.239171174891794]}"
0_77,0.28103065490722656,153.00866937706104,2917.0,15.242912292480469,16.0,18.0,51.0,8.132790442879518,"{""type"":""Point"",""coordinates"":[-108.04936529604355,38.248171635803146]}"
0_78,0.26875150203704834,120.50751650299051,2839.0,5.464441299438477,18.0,23.0,46.0,8.486447376886225,"{""type"":""Point"",""coordinates"":[-108.00299082694478,38.22104551910836]}"
0_79,0.27849799394607544,180.0,2496.0,10.992984771728516,24.0,33.0,54.0,7.778113291620672,"{""type"":""Point"",""coordinates"":[-108.09255098014748,38.23003156117252]}"
0_80,0.2977350652217865,326.0102388973641,2986.0,18.36109161376953,20.0,23.0,66.0,7.242437251824012,"{""type"":""Point"",""coordinates"":[-108.09607150801159,38.261921318558585]}"
0_81,0.30698391795158386,222.8048086927063,2914.0,13.642144203186035,22.0,25.0,68.0,8.248579737820197,"{""type"":""Point"",""coordinates"":[-108.09107401736703,38.256198698342516]}"
0_82,0.2632799446582794,223.68225624913268,2716.0,10.15251636505127,24.0,30.0,49.0,7.859482727446188,"{""type"":""Point"",""coordinates"":[-108.10563728940743,38.24993037541095]}"
0_83,0.303172767162323,172.36900129084052,2892.0,17.239944458007812,21.0,25.0,52.0,8.00283255840379,"{""type"":""Point"",""coordinates"":[-108.02619391828816,38.21762333128562]}"
0_84,0.26953810453414917,243.86085495425124,2806.0,10.410356521606445,17.0,21.0,50.0,7.833856633605317,"{""type"":""Point"",""coordinates"":[-108.11088430092305,38.2620634824701]}"
0_85,0.32913288474082947,189.63176294849092,2905.0,13.835918426513672,23.0,26.0,55.0,8.23392006448671,"{""type"":""Point"",""coordinates"":[-108.031499226304,38.217655968087634]}"
0_86,0.3257342278957367,223.67646091367834,2473.0,5.115927219390869,24.0,34.0,45.0,9.24587369656477,"{""type"":""Point"",""coordinates"":[-108.11813189025791,38.235364849480746]}"
0_87,0.31168079376220703,195.79879064452334,2768.0,8.609737396240234,25.0,35.0,56.0,9.125899392111311,"{""type"":""Point"",""coordinates"":[-108.06871249332889,38.24425312620374]}"
0_88,0.25369179248809814,159.10169216551418,2806.0,9.830414772033691,21.0,26.0,53.0,8.990998438750418,"{""type"":""Point"",""coordinates"":[-108.0154827771789,38.21514743764465]}"
0_89,0.2995716333389282,154.48515684551103,2809.0,16.01314926147461,21.0,25.0,54.0,8.486427777459983,"{""type"":""Point"",""coordinates"":[-108.01176474126973,38.21652506192493]}"
0_90,0.27388787269592285,206.9896482816534,2701.0,10.296232223510742,23.0,29.0,54.0,7.845123395965161,"{""type"":""Point"",""coordinates"":[-108.08727821795208,38.242698137948686]}"
0_91,0.2554592192173004,212.47718143073658,2547.0,10.862333297729492,22.0,32.0,50.0,10.355313762976612,"{""type"":""Point"",""coordinates"":[-108.07767556148933,38.2298635774984]}"
0_92,0.27170276641845703,180.0,2589.0,10.992984771728516,28.0,33.0,55.0,9.724023440675985,"{""type"":""Point"",""coordinates"":[-108.05685852388817,38.20542321593854]}"
0_93,0.2824530005455017,199.99150222988996,2617.0,13.558576583862305,27.0,34.0,57.0,8.660426405547058,"{""type"":""Point"",""coordinates"":[-108.1125963007595,38.24641293266554]}"
0_94,0.2989811897277832,308.13899810724206,3035.0,4.496255874633789,19.0,25.0,61.0,8.68244695829036,"{""type"":""Point"",""coordinates"":[-108.09141685698616,38.26077230583834]}"
0_95,0.3145596981048584,147.5292592429212,2805.0,6.5672383308410645,21.0,27.0,61.0,9.687555928303452,"{""type"":""Point"",""coordinates"":[-108.02987481915487,38.212064379405305]}"
0_96,0.3214944303035736,216.04355752710748,3033.0,7.977575302124023,18.0,23.0,66.0,8.104621648733042,"{""type"":""Point"",""coordinates"":[-108.0851312728464,38.256437082580256]}"
0_97,0.2976384460926056,186.60350210447638,2817.0,10.162606239318848,23.0,25.0,57.0,7.858468268516188,"{""type"":""Point"",""coordinates"":[-108.09912108188539,38.253192765007185]}"
0_98,0.2907884120941162,199.98974387477315,2575.0,6.875463485717773,23.0,35.0,55.0,8.254972474339956,"{""type"":""Point"",""coordinates"":[-108.10558550872001,38.239544896741656]}"
0_99,0.30114585161209106,180.0,2834.0,8.28909969329834,21.0,24.0,61.0,8.758942557940152,"{""type"":""Point"",""coordinates"":[-108.093647282351,38.25187107081174]}"
0_100,0.2398221641778946,291.44584259105244,2514.0,2.53509521484375,21.0,30.0,41.0,15.555812872861459,"{""type"":""Point"",""coordinates"":[-108.09227967644554,38.220179768684126]}"
0_101,0.2508772909641266,197.65419781266476,2587.0,7.739231586456299,24.0,32.0,50.0,8.13533749517582,"{""type"":""Point"",""coordinates"":[-108.07257752007739,38.231043226214105]}"
0_102,0.34208938479423523,281.10652518715386,2657.0,9.54041862487793,25.0,33.0,54.0,8.616055186492593,"{""type"":""Point"",""coordinates"":[-108.11756470714143,38.2569738645561]}"
0_103,0.28437790274620056,291.443013416237,2603.0,10.044109344482422,25.0,32.0,65.0,12.11893881532494,"{""type"":""Point"",""coordinates"":[-108.06321098635897,38.23080755217714]}"
0_104,0.2663588225841522,32.487595849823435,3025.0,4.389647960662842,17.0,23.0,52.0,8.706539407649606,"{""type"":""Point"",""coordinates"":[-108.08337154833129,38.259145586530494]}"
0_105,0.3088492453098297,252.55834556880734,2768.0,23.367063522338867,18.0,26.0,54.0,10.274556926896382,"{""type"":""Point"",""coordinates"":[-108.05264567025313,38.237748989523084]}"
0_106,0.29695412516593933,272.6452075161857,2822.0,19.328588485717773,17.0,24.0,53.0,10.406063072797378,"{""type"":""Point"",""coordinates"":[-108.04579330523092,38.24178836577039]}"
0_107,0.2546946406364441,180.0,2796.0,7.3788604736328125,20.0,28.0,53.0,8.183578407329561,"{""type"":""Point"",""coordinates"":[-108.09974806026948,38.25218408013437]}"
0_108,0.27903565764427185,117.64377811186401,2935.0,3.991568088531494,19.0,25.0,52.0,8.801943906059819,"{""type"":""Point"",""coordinates"":[-108.01816474173107,38.21991811396596]}"
0_109,0.31978851556777954,228.31987263743056,3000.0,22.481754302978516,20.0,22.0,52.0,7.714942478127225,"{""type"":""Point"",""coordinates"":[-108.03781991000719,38.22391264421334]}"
0_110,0.2830869257450104,242.36548603855488,2746.0,3.9927968978881836,25.0,35.0,56.0,8.801635103664616,"{""type"":""Point"",""coordinates"":[-108.09723448005718,38.24857785046431]}"
0_111,0.2441018670797348,223.6711057336048,2814.0,10.15066909790039,20.0,24.0,44.0,9.245962921581121,"{""type"":""Point"",""coordinates"":[-108.04455267928017,38.22175040615331]}"
0_112,0.3540761470794678,199.9854558656038,2468.0,19.886404037475586,21.0,28.0,57.0,13.67110006506226,"{""type"":""Point"",""coordinates"":[-108.09836383439303,38.2226370783555]}"
0_113,0.29149195551872253,199.98953290973708,2574.0,6.875454425811768,22.0,35.0,52.0,8.948120985351922,"{""type"":""Point"",""coordinates"":[-108.10364244460773,38.23868577060543]}"
0_114,0.2446240782737732,231.84717707246662,2617.0,4.494880199432373,25.0,34.0,49.0,8.68275422481678,"{""type"":""Point"",""coordinates"":[-108.06432056505419,38.224821190494765]}"
0_115,0.28089556097984314,308.1370826160633,2815.0,8.938179969787598,18.0,22.0,59.0,11.124751462139638,"{""type"":""Point"",""coordinates"":[-108.09860918651015,38.26585332725447]}"
0_116,0.24893935024738312,218.50368447425578,2559.0,9.396354675292969,23.0,29.0,47.0,7.93840413906343,"{""type"":""Point"",""coordinates"":[-108.0719641210457,38.221244799271176]}"
0_118,0.3060893416404724,287.4453465726227,2618.0,6.163595676422119,25.0,35.0,57.0,8.365219449127315,"{""type"":""Point"",""coordinates"":[-108.06543135287588,38.22141953564687]}"
0_119,0.29368436336517334,210.72239531848572,2768.0,15.772806167602539,23.0,28.0,56.0,8.096890054262841,"{""type"":""Point"",""coordinates"":[-108.11039461114073,38.25551638972005]}"
0_120,0.2505722641944885,51.84303280331104,2532.0,2.9997291564941406,20.0,28.0,47.0,9.088311407556066,"{""type"":""Point"",""coordinates"":[-108.08837275798804,38.21376793469965]}"
0_121,0.31529510021209717,186.603352001566,2895.0,19.723228454589844,24.0,28.0,49.0,7.858468600883649,"{""type"":""Point"",""coordinates"":[-108.08496588698814,38.25143637145027]}"
0_122,0.3128126263618469,180.0,2933.0,22.03289794921875,21.0,25.0,57.0,7.044144065450565,"{""type"":""Point"",""coordinates"":[-108.09400745414025,38.25716355498324]}"
0_123,0.2888624668121338,171.9483158481349,2626.0,8.370462417602539,24.0,35.0,55.0,10.54079525611871,"{""type"":""Point"",""coordinates"":[-108.07785770492352,38.23734797494291]}"
0_124,0.33268681168556213,230.14817638548553,2930.0,23.241004943847656,20.0,24.0,49.0,7.677922639067402,"{""type"":""Point"",""coordinates"":[-108.04013245454104,38.223528547653025]}"
0_125,0.3240315318107605,346.96256060957086,2873.0,10.358012199401855,20.0,22.0,58.0,7.839009517505635,"{""type"":""Point"",""coordinates"":[-108.10450801998742,38.2608289381397]}"
0_126,0.2724723219871521,235.50561969256592,2803.0,11.314729690551758,20.0,28.0,49.0,7.748523336361339,"{""type"":""Point"",""coordinates"":[-108.09790589049409,38.25174545465241]}"
0_127,0.31573939323425293,264.39207544865843,2686.0,9.405842781066895,18.0,27.0,61.0,7.937376539492346,"{""type"":""Point"",""coordinates"":[-108.05774574776204,38.23086375256655]}"
0_128,0.2945079505443573,237.84676306135026,2671.0,6.937088489532471,24.0,33.0,52.0,8.245962351618727,"{""type"":""Point"",""coordinates"":[-108.05377023327458,38.210453638127845]}"
0_129,0.275907039642334,144.72487308339998,2777.0,10.118298530578613,22.0,34.0,56.0,8.961542560448434,"{""type"":""Point"",""coordinates"":[-108.07566238797266,38.245718052780006]}"
0_130,0.23682619631290436,180.0,2584.0,6.464860916137695,24.0,34.0,45.0,10.882059119741532,"{""type"":""Point"",""coordinates"":[-108.07512681885984,38.232014980004394]}"
0_131,0.24026279151439667,209.509818762387,2959.0,26.666831970214844,19.0,25.0,54.0,7.521379951266661,"{""type"":""Point"",""coordinates"":[-108.09064774145925,38.25733304909976]}"
0_132,0.32069122791290283,274.98781903752104,2953.0,20.4239501953125,17.0,18.0,54.0,7.127381128179423,"{""type"":""Point"",""coordinates"":[-108.04750632815511,38.23592647674167]}"
0_133,0.33684679865837097,206.33521106558257,2919.0,18.010541915893555,22.0,26.0,55.0,7.9562192239046405,"{""type"":""Point"",""coordinates"":[-108.03681940645303,38.22007931316309]}"
0_134,0.2587980031967163,270.0,2469.0,1.180480718612671,18.0,25.0,46.0,10.021684426560627,"{""type"":""Point"",""coordinates"":[-108.10715564002145,38.22589629848285]}"
0_135,0.22873538732528687,111.44837330333971,2782.0,2.5348105430603027,21.0,32.0,50.0,9.256976071335849,"{""type"":""Point"",""coordinates"":[-108.02543516344807,38.21073021534978]}"
0_136,0.302646279335022,284.66837907224726,2637.0,20.98481559753418,26.0,28.0,62.0,7.790927122214233,"{""type"":""Point"",""coordinates"":[-108.1200125772329,38.25464833752296]}"
0_137,0.31898775696754456,265.508399658351,2433.0,22.46080780029297,18.0,27.0,77.0,13.613131415761645,"{""type"":""Point"",""coordinates"":[-108.11111272319665,38.229295611288286]}"
0_138,0.2742854356765747,199.15097704425378,2931.0,10.67485237121582,20.0,24.0,53.0,8.906803965703046,"{""type"":""Point"",""coordinates"":[-108.06394305917574,38.24887596463882]}"
0_139,0.3374548852443695,217.36861496145656,2845.0,11.512776374816895,18.0,22.0,50.0,7.730703621915919,"{""type"":""Point"",""coordinates"":[-108.04033288336313,38.218265705963944]}"
0_140,0.280233234167099,242.3693557977457,2932.0,7.948197364807129,20.0,23.0,57.0,8.108358949257767,"{""type"":""Point"",""coordinates"":[-108.10018420879626,38.26047518483835]}"
0_141,0.2459932416677475,257.35115747432656,2663.0,8.410271644592285,25.0,32.0,56.0,9.996985595727134,"{""type"":""Point"",""coordinates"":[-108.05750718994508,38.23538551211858]}"
0_142,0.27439451217651367,202.9862359291376,2572.0,11.915056228637695,31.0,33.0,97.0,9.64129238187095,"{""type"":""Point"",""coordinates"":[-108.05621910661873,38.20448924377665]}"
0_143,0.3701780438423157,191.9762852219527,2829.0,5.6701860427856445,18.0,23.0,54.0,8.44925368733757,"{""type"":""Point"",""coordinates"":[-108.03452344910527,38.21404283418404]}"
0_144,0.2836492657661438,208.62577676474842,3026.0,7.355850696563721,19.0,25.0,61.0,8.18673631050918,"{""type"":""Point"",""coordinates"":[-108.09138491900809,38.25942584266261]}"
0_145,0.2662232518196106,206.99248192391687,2795.0,10.296486854553223,22.0,28.0,55.0,7.845098125204218,"{""type"":""Point"",""coordinates"":[-108.09857609294417,38.251603855227465]}"
0_146,0.23463371396064758,37.38403166396292,3016.0,5.816269874572754,18.0,20.0,54.0,8.423645291430208,"{""type"":""Point"",""coordinates"":[-108.08023633082253,38.25891075833152]}"
0_147,0.2577694058418274,231.84622057182196,2822.0,8.934917449951172,20.0,23.0,50.0,9.37592267217466,"{""type"":""Point"",""coordinates"":[-108.0447956440558,38.222350705613465]}"
0_148,0.2904432713985443,242.36161757615815,2619.0,3.992283582687378,25.0,36.0,52.0,11.286670739165736,"{""type"":""Point"",""coordinates"":[-108.07576182820459,38.23663015571298]}"
0_149,0.28100407123565674,6.9161825921711,2946.0,18.902996063232422,19.0,26.0,63.0,7.211194291356275,"{""type"":""Point"",""coordinates"":[-108.0897507209634,38.26582809341474]}"
