latitude,longitude,HubName,HubDist
38.2620634824701,-108.110884300923,ATV/4-Wheeler Road,0.32610581984909
38.2176559680876,-108.031499226304,Upper Bench Road,0.246326091020213
38.2353648494807,-108.118131890258,Miguel Road,0.0755593586744294
38.2442531262037,-108.068712493329,ATV/4-Wheeler Road,0.196105276104591
38.2151474376447,-108.015482777179,,0.309655717293687
38.2165250619249,-108.01176474127,Rim Road,0.2483099080437
38.2426981379487,-108.087278217952,ATV/4-Wheeler Road,0.278058302241485
38.2298635774984,-108.077675561489,Miguel Road,0.540321010100692
38.2054232159385,-108.056858523888,,0.10137831042376
38.2464129326655,-108.11259630076,ATV/4-Wheeler Road,0.298701357814554
38.2607723058383,-108.091416856986,Divide Road,0.155448821930381
38.2120643794053,-108.029874819155,Upper Bench Road,0.166926441909936
38.2564370825803,-108.085131272846,Divide Road,0.348352384811938
