system:index,NDVI,aspect,clay_0_15,clay_30_60,elevation,om_0_15,slope,twi,.geo
0_48,0.2785196006298065,327.52430531020553,63.0,40.5,2599.0,0.9200000166893005,12.96700668334961,11.92554746069588,"{""type"":""Point"",""coordinates"":[-108.06923146412083,38.22573047253244]}"
0_49,0.23533432185649872,342.34814151954157,35.0,15.5,2510.0,0.6399999856948853,3.887296676635742,8.828497693024513,"{""type"":""Point"",""coordinates"":[-108.09301550241598,38.22086511770172]}"
0_50,0.3339942991733551,284.1134896249829,50.0,33.5,2495.0,0.7100000083446503,27.972213745117188,8.851790701551435,"{""type"":""Point"",""coordinates"":[-108.09290236876672,38.21181022151677]}"
0_51,0.28660914301872253,212.48580962090676,45.0,30.5,2721.0,0.9900000095367432,12.968415260314941,8.301094105790847,"{""type"":""Point"",""coordinates"":[-108.11078925504084,38.25415202687297]}"
0_52,0.2546788156032562,23.002369010053446,28.0,32.5,3032.0,-9.930000305175781,3.020021438598633,9.081557061291761,"{""type"":""Point"",""coordinates"":[-108.08940240567411,38.26125674093598]}"
0_53,0.272413432598114,242.35433399459757,61.0,40.5,2587.0,0.9200000166893005,7.94426965713501,9.495153991373803,"{""type"":""Point"",""coordinates"":[-108.0671173422387,38.214099007714324]}"
0_54,0.2779683768749237,141.49844684425736,44.0,31.5,2847.0,0.9200000166893005,9.396081924438477,9.03704598251939,"{""type"":""Point"",""coordinates"":[-108.0323983081495,38.21559025362821]}"
0_55,0.2325371354818344,180.0,36.0,33.5,2532.0,0.8499999940395355,0.9274099469184875,10.263019926494911,"{""type"":""Point"",""coordinates"":[-108.08807903973603,38.21370812142167]}"
0_56,0.3170970678329468,158.10310382111254,36.0,24.5,2789.0,0.7800000011920929,18.339426040649414,8.342314986048754,"{""type"":""Point"",""coordinates"":[-108.00738184449314,38.21680633262769]}"
0_57,0.2323906272649765,222.80491788710063,45.0,27.5,2831.0,1.1299999952316284,13.642167091369629,7.555430814377416,"{""type"":""Point"",""coordinates"":[-108.10521638330528,38.25645985718374]}"
0_58,0.24935750663280487,180.0,39.0,31.5,2530.0,0.9200000166893005,4.6273674964904785,10.599492176009129,"{""type"":""Point"",""coordinates"":[-108.08032352839403,38.229763725803664]}"
0_59,0.26479005813598633,231.85483188238632,42.0,30.5,2679.0,1.1299999952316284,5.984660625457764,8.394902020859359,"{""type"":""Point"",""coordinates"":[-108.10075379440828,38.24469360227125]}"
0_60,0.29211658239364624,253.7825574837301,41.0,28.5,2594.0,0.8500000238418579,30.097352981567383,8.07120108750792,"{""type"":""Point"",""coordinates"":[-108.12037418287389,38.25040325577859]}"
0_61,0.28293725848197937,189.04377706784265,47.0,35.5,2778.0,0.9900000095367432,14.69568920135498,8.576534083344237,"{""type"":""Point"",""coordinates"":[-108.08722632914571,38.24833445388274]}"
0_62,0.27992433309555054,180.0,54.0,39.5,2621.0,0.9200000166893005,4.6273674964904785,11.138488676741817,"{""type"":""Point"",""coordinates"":[-108.07804467091985,38.23653383877855]}"
0_63,0.28206107020378113,236.78860190893843,42.0,31.5,3022.0,0.8500000238418579,8.405853271484375,8.051608559968864,"{""type"":""Point"",""coordinates"":[-108.03616470819244,38.223786735239536]}"
0_64,0.28688451647758484,185.38847438533023,44.0,30.5,2869.0,0.8500000238418579,23.701948165893555,7.655901294739635,"{""type"":""Point"",""coordinates"":[-108.08203642054013,38.25074128868854]}"
0_65,0.27195340394973755,189.04313130929782,42.0,36.5,2653.0,0.9200000166893005,7.470689296722412,8.171070803128567,"{""type"":""Point"",""coordinates"":[-108.10319967773101,38.24305905007163]}"
0_66,0.2578490674495697,202.9933922888855,39.0,35.5,2519.0,0.9200000166893005,6.022956848144531,10.953425769236997,"{""type"":""Point"",""coordinates"":[-108.08768259613228,38.22983066347694]}"
0_67,0.25237420201301575,264.3933951877107,46.0,31.5,2716.0,1.199999988079071,9.408010482788086,8.630289089545311,"{""type"":""Point"",""coordinates"":[-108.10172291367236,38.248008063035385]}"
0_68,0.3061332404613495,195.4734819230496,28.0,32.5,2926.0,3.5799999237060547,21.122610092163086,8.189218795787086,"{""type"":""Point"",""coordinates"":[-108.0748598671722,38.251689187576766]}"
